"dptvar";"shrinkage";"tree.complexity";"bag.fraction";"stepsize";"optimal.trees";"min.RMSE";"dev.tot";"dev.res";"dev.exp";"nbrobs";"p.dev.exp"
"TSS";0.03;1;0.7;10;221;0.933961004269461;1.3536097165265;0.872292605046374;0.481317111480127;326;35.6
"aCDOM400";0.03;1;0.7;10;245;0.378724710321782;0.171241716976082;0.143441781853024;0.027799935123058;395;16.2
"TSS";0.03;2;0.7;10;147;0.925245221711783;1.3536097165265;0.856095529180152;0.497514187346349;326;36.8
"aCDOM400";0.03;2;0.7;10;155;0.375143100238903;0.171241716976082;0.140742001006506;0.0304997159695759;395;17.8
"TSS";0.03;3;0.7;10;137;0.924858838521197;1.3536097165265;0.855392623128281;0.49821709339822;326;36.8
"aCDOM400";0.03;3;0.7;10;125;0.373673510678423;0.171241716976082;0.139639573545577;0.0316021434305045;395;18.5
"TSS";0.03;4;0.7;10;123;0.925299411879122;1.3536097165265;0.856208619088556;0.497401097437945;326;36.7
"aCDOM400";0.03;4;0.7;10;103;0.373234313271935;0.171241716976082;0.139312672613267;0.0319290443628147;395;18.6
"TSS";0.03;5;0.7;10;107;0.922233363019861;1.3536097165265;0.850536755294066;0.503072961232435;326;37.2
"aCDOM400";0.03;5;0.7;10;91;0.373236869131411;0.171241716976082;0.13931251930127;0.0319291976748115;395;18.6
"TSS";0.03;1;0.8;10;227;0.934170602031276;1.3536097165265;0.872681776242027;0.480927940284473;326;35.5
"aCDOM400";0.03;1;0.8;10;265;0.378005537841998;0.171241716976082;0.142898472428539;0.0283432445475425;395;16.6
"TSS";0.03;2;0.8;10;145;0.92540727010353;1.3536097165265;0.856394690000107;0.497215026526394;326;36.7
"aCDOM400";0.03;2;0.8;10;193;0.374748918101827;0.171241716976082;0.140448392545021;0.03079332443106;395;18
"TSS";0.03;3;0.8;10;133;0.926494623050469;1.3536097165265;0.858426842828647;0.495182873697854;326;36.6
"aCDOM400";0.03;3;0.8;10;117;0.372784822535235;0.171241716976082;0.138975044957866;0.0322666720182155;395;18.8
