"dptvar";"shrinkage";"tree.complexity";"bag.fraction";"stepsize";"optimal.trees";"min.RMSE";"dev.tot";"dev.res";"dev.exp";"nbrobs";"p.dev.exp"
"Cluster.3";0.03;1;0.7;10;255;2.63908447393618;10.8214236285613;6.96527733908418;3.85614628947716;413;35.6
"Cluster.3";0.03;2;0.7;10;191;2.67139987903604;10.8214236285613;7.1387348918783;3.68268873668304;413;34
"Cluster.3";0.03;3;0.7;10;143;2.72276858839314;10.8214236285613;7.4149785849188;3.40644504364254;413;31.5
"Cluster.3";0.03;1;0.8;10;247;2.62987557007818;10.8214236285613;6.91672075183169;3.90470287672966;413;36.1
"Cluster.3";0.03;2;0.8;10;185;2.68109072532522;10.8214236285613;7.19051872485287;3.63090490370847;413;33.6
"Cluster.3";0.03;3;0.8;10;129;2.73484399077793;10.8214236285613;7.4822371180692;3.33918651049214;413;30.9
"Cluster.3";0.03;1;0.9;10;247;2.62667484427912;10.8214236285613;6.89987543251886;3.92154819604249;413;36.2
"Cluster.3";0.03;2;0.9;10;205;2.68367011832177;10.8214236285613;7.20507731857786;3.61634630998348;413;33.4
"Cluster.3";0.03;3;0.9;10;135;2.73074423418799;10.8214236285613;7.45924051285193;3.36218311570942;413;31.1
"Cluster.3";0.03;1;1;10;239;2.63569039386113;10.8214236285613;6.94720553993984;3.8742180886215;413;35.8
"Cluster.3";0.03;2;1;10;193;2.67113276773097;10.8214236285613;7.13833207883638;3.68309154972497;413;34
"Cluster.3";0.03;3;1;10;127;2.72672651814673;10.8214236285613;7.43767463637648;3.38374899218487;413;31.3
"Cluster.3";0.03;1;0.7;20;305;2.64629605946115;10.8214236285613;7.0035053452368;3.81791828332454;413;35.3
"Cluster.3";0.03;2;0.7;20;173;2.69064320241092;10.8214236285613;7.24145244240158;3.57997118615976;413;33.1
"Cluster.3";0.03;3;0.7;20;137;2.71653099843851;10.8214236285613;7.3822911279031;3.43913250065824;413;31.8
"Cluster.3";0.03;1;0.8;20;285;2.63105602376207;10.8214236285613;6.92282867859555;3.89859494996579;413;36
"Cluster.3";0.03;2;0.8;20;165;2.70364071273084;10.8214236285613;7.31233702510626;3.50908660345508;413;32.4
"Cluster.3";0.03;3;0.8;20;129;2.74343576466045;10.8214236285613;7.52925720817919;3.29216642038216;413;30.4
"Cluster.3";0.03;1;0.9;20;309;2.63112227872247;10.8214236285613;6.92350234436183;3.89792128419952;413;36
"Cluster.3";0.03;2;0.9;20;237;2.68278755031809;10.8214236285613;7.20024425844626;3.62117937011509;413;33.5
"Cluster.3";0.03;3;0.9;20;125;2.74145679920827;10.8214236285613;7.51960307119391;3.30182055736744;413;30.5
"Cluster.3";0.03;1;1;20;545;2.62540465854862;10.8214236285613;6.89356632542026;3.92785730314109;413;36.3
"Cluster.3";0.03;2;1;20;221;2.67139264179925;10.8214236285613;7.13972994768982;3.68169368087153;413;34
"Cluster.3";0.03;3;1;20;125;2.72767546957327;10.8214236285613;7.44282650427199;3.37859712428935;413;31.2
"Cluster.3";0.03;1;0.7;30;403;2.63310982706272;10.8214236285613;6.93373464513511;3.88768898342623;413;35.9
"Cluster.3";0.03;2;0.7;30;205;2.67944613867647;10.8214236285613;7.18136491626051;3.64005871230084;413;33.6
"Cluster.3";0.03;3;0.7;30;151;2.71772825328099;10.8214236285613;7.38857560853802;3.43284802002332;413;31.7
"Cluster.3";0.03;1;0.8;30;517;2.62887789443597;10.8214236285613;6.91157320860279;3.90985041995855;413;36.1
"Cluster.3";0.03;2;0.8;30;175;2.67469911425398;10.8214236285613;7.15610499665559;3.66531863190575;413;33.9
"Cluster.3";0.03;3;0.8;30;127;2.7338159978307;10.8214236285613;7.47742635406426;3.34399727449708;413;30.9
"Cluster.3";0.03;1;0.9;30;481;2.6180783866426;10.8214236285613;6.85519006313051;3.96623356543083;413;36.7
"Cluster.3";0.03;2;0.9;30;211;2.68237370434915;10.8214236285613;7.19793143455362;3.62349219400773;413;33.5
"Cluster.3";0.03;3;0.9;30;127;2.73834674543761;10.8214236285613;7.50140262897662;3.32002099958473;413;30.7
"Cluster.3";0.03;1;1;30;901;2.61385412788648;10.8214236285613;6.83348547720841;3.98793815135293;413;36.9
"Cluster.3";0.03;2;1;30;211;2.67221054039578;10.8214236285613;7.1440429783244;3.67738065023694;413;34
"Cluster.3";0.03;3;1;30;127;2.72672651814673;10.8214236285613;7.43767463637648;3.38374899218487;413;31.3
"Cluster.3";0.03;1;0.7;40;449;2.63774430220383;10.8214236285613;6.95865475451868;3.86276887404266;413;35.7
"Cluster.3";0.03;2;0.7;40;201;2.67411033180152;10.8214236285613;7.15227894407616;3.66914468448519;413;33.9
"Cluster.3";0.03;3;0.7;40;137;2.70802480271572;10.8214236285613;7.33451506995986;3.48690855860148;413;32.2
"Cluster.3";0.03;1;0.8;40;465;2.62645393517;10.8214236285613;6.89894477269533;3.92247885586601;413;36.2
"Cluster.3";0.03;2;0.8;40;209;2.6786941087978;10.8214236285613;7.1775718736738;3.64385175488755;413;33.7
"Cluster.3";0.03;3;0.8;40;153;2.73474569099709;10.8214236285613;7.48135855060354;3.34006507795781;413;30.9
"Cluster.3";0.03;1;0.9;40;665;2.61869028031973;10.8214236285613;6.8586634455041;3.96276018305725;413;36.6
"Cluster.3";0.03;2;0.9;40;193;2.68903279017884;10.8214236285613;7.23325822796377;3.58816540059758;413;33.2
"Cluster.3";0.03;3;0.9;40;121;2.75037014423778;10.8214236285613;7.56685447101669;3.25456915754466;413;30.1
"Cluster.3";0.03;1;1;40;913;2.61405984730331;10.8214236285613;6.83457049988276;3.98685312867858;413;36.8
"Cluster.3";0.03;2;1;40;201;2.67240184748642;10.8214236285613;7.14507658555044;3.67634704301091;413;34
"Cluster.3";0.03;3;1;40;141;2.72792284257872;10.8214236285613;7.44468066187221;3.37674296668913;413;31.2
